61,171,70,82,67,55,85,56,219,97,,
61,171,70,67,55,82,302,85,56,219,97,
61,171,70,67,82,85,302,56,219,97,,
61,70,82,171,67,85,302,56,219,97,,
70,82,61,171,67,85,302,219,56,97,,
61,70,171,67,82,85,302,219,97,,,
171,82,61,70,67,85,302,219,97,,,
70,171,61,82,67,55,219,97,,,,
61,70,171,67,55,82,56,192,219,97,,
171,70,61,67,55,82,56,219,192,97,,
61,70,171,67,55,82,302,192,219,97,,
61,70,67,171,55,82,56,302,219,97,,
61,67,70,55,171,82,56,302,219,97,,
61,67,70,82,55,171,219,97,302,,,
61,67,82,70,171,55,219,97,,,,
70,82,67,61,85,55,219,,,,,
82,70,67,302,61,55,85,219,97,,,
82,70,67,302,219,97,,,,,,
70,82,67,302,56,55,219,97,,,,
82,70,55,67,302,61,56,85,219,97,,
61,67,82,70,55,302,85,56,219,97,,
61,67,70,82,302,56,85,219,97,,,
61,67,70,302,82,85,219,97,,,,
61,67,70,55,302,82,85,192,219,97,,
61,67,70,82,55,302,85,192,219,97,,
61,67,70,82,55,302,85,192,219,97,,
61,82,67,70,55,302,56,85,192,219,97,
61,67,70,82,302,56,55,85,192,219,97,
61,67,70,82,55,56,302,85,192,219,97,
67,73,70,302,82,55,85,,,,,
67,73,70,302,85,82,192,55,,,,
67,70,56,302,82,73,85,55,192,,,
67,70,73,82,56,302,85,,,,,
67,56,70,73,302,82,85,192,,,,
67,70,56,302,85,73,192,82,,,,
67,56,70,302,82,85,73,192,,,,
67,56,70,82,85,73,302,,,,,
67,70,85,82,302,73,,,,,,
67,70,85,82,302,73,56,,,,,
67,56,70,85,73,82,302,,,,,
67,56,70,85,73,82,302,165,,,,
67,56,70,85,82,73,302,165,,,,
67,56,70,85,73,302,,,,,,
67,56,70,85,73,302,82,147,,,,
67,56,70,85,302,73,82,147,,,,
67,56,70,85,302,73,147,,,,,
67,56,85,70,302,73,147,,,,,
67,56,70,85,302,73,,,,,,
67,56,85,70,302,73,26,147,,,,
67,56,85,70,302,26,147,,,,,
67,56,85,70,302,26,147,73,,,,
67,56,85,70,73,302,26,147,,,,
67,56,85,302,70,73,26,147,,,,
67,56,302,85,73,70,147,26,,,,
67,56,302,85,70,73,26,147,,,,
67,302,85,56,70,73,26,147,,,,
67,302,56,85,73,70,147,26,,,,
67,302,56,85,73,70,147,26,,,,
67,56,85,70,73,147,26,61,,,,
67,85,56,70,147,26,61,,,,,
67,85,56,70,147,26,61,,,,,
67,85,56,70,26,61,147,,,,,
67,85,56,70,26,61,147,,,,,
67,85,56,70,26,61,,,,,,
67,85,56,70,26,147,61,,,,,
85,56,302,70,26,147,61,219,,,,
85,302,56,70,26,147,61,219,97,,,
85,302,56,70,26,61,147,219,97,,,
302,85,56,70,26,147,61,219,97,,,
302,85,56,70,26,44,61,147,219,97,,
302,85,56,70,26,44,61,219,97,,,
302,85,70,56,44,61,26,82,50,219,97,
302,85,56,70,44,61,26,50,219,97,82,
302,85,44,56,70,26,61,82,50,219,97,
302,85,44,56,70,61,26,219,97,50,,
302,85,44,56,70,147,61,26,219,97,,
67,85,44,56,70,147,219,26,,,,
85,67,44,56,70,147,219,97,,,,
85,67,44,70,147,219,97,,,,,
85,67,44,147,219,97,,,,,,
85,67,44,219,97,,,,,,,
85,67,44,56,61,219,97,,,,,
85,44,67,56,61,219,97,,,,,
85,44,67,56,61,219,97,,,,,
85,44,67,56,61,219,97,,,,,
85,44,56,67,61,219,97,,,,,
85,56,67,44,61,219,97,,,,,
85,56,61,44,67,219,97,,,,,
85,56,44,61,67,219,97,,,,,
85,56,67,61,219,97,,,,,,
85,56,67,61,44,219,97,,,,,
85,56,67,61,44,219,97,,,,,
85,56,67,26,61,44,219,97,,,,
85,67,56,26,61,219,97,,,,,
67,85,56,26,61,219,97,,,,,
67,85,56,26,61,219,97,,,,,
67,85,56,26,61,219,97,,,,,
85,67,56,26,61,219,97,,,,,
85,67,56,26,61,219,97,,,,,
85,67,56,44,26,61,219,97,,,,
85,67,56,44,26,61,219,97,,,,
85,56,67,44,97,219,,,,,,
85,56,67,44,97,219,,,,,,
85,56,67,44,219,97,,,,,,
85,56,44,67,97,219,,,,,,
85,56,44,67,219,97,,,,,,
85,56,44,67,97,219,,,,,,
85,44,56,67,219,97,,,,,,
85,44,56,67,219,97,,,,,,
