56,192,159,171,44,219,97,,,,
56,192,159,44,219,97,,,,,
192,56,159,219,97,,,,,,
192,56,159,26,44,219,97,147,,,
192,26,56,159,85,44,219,97,,,
192,26,56,85,159,44,219,97,,,
192,26,56,159,85,44,219,97,,,
192,26,56,159,44,85,147,219,97,,
192,26,159,56,147,44,85,219,97,,
192,56,147,302,,,,,,,
26,56,147,302,85,,,,,,
26,56,147,302,85,,,,,,
26,56,147,302,85,,,,,,
26,56,147,302,85,,,,,,
56,26,147,85,302,,,,,,
56,26,147,302,,,,,,,
56,26,147,,,,,,,,
56,26,147,85,,,,,,,
26,56,147,85,,,,,,,
26,56,147,85,,,,,,,
26,56,147,,,,,,,,
26,56,147,,,,,,,,
26,147,159,56,44,,,,,,
26,159,44,147,56,,,,,,
26,85,159,44,147,,,,,,
26,85,147,44,,,,,,,
26,159,147,,,,,,,,
26,56,159,302,147,,,,,,
56,26,159,147,302,,,,,,
56,26,147,159,85,,,,,,
56,26,147,159,85,,,,,,
56,26,147,159,85,,,,,,
26,56,147,85,159,,,,,,
26,56,147,85,,,,,,,
26,56,147,85,159,171,,,,,
26,56,147,159,85,171,,,,,
26,56,147,171,159,85,,,,,
26,56,147,171,159,85,,,,,
26,56,147,171,159,85,,,,,
26,56,147,171,159,85,,,,,
26,56,159,147,171,70,,,,,
56,26,159,171,147,70,85,,,,
26,56,159,171,147,70,85,,,,
56,26,159,171,147,85,70,,,,
56,171,159,147,70,26,,,,,
56,171,147,159,26,,,,,,
56,171,147,159,26,,,,,,
56,171,159,70,147,26,85,,,,
56,171,70,159,26,147,85,,,,
56,171,70,159,26,147,,,,,
56,171,70,159,147,26,,,,,
56,171,159,26,70,147,302,,,,
56,171,26,147,70,159,302,,,,
171,56,147,26,70,159,302,,,,
56,26,171,70,147,159,,,,,
56,26,70,159,85,171,147,,,,
